date,btc,eth,doge,ltc,bch,etc,dash
2017-11-01,35326641510.645515,18358909438.611687,100874845.69917773,2155943893.534126,2606443018.773897,938832932.8919988,946890498.8128873
2017-11-02,35911938507.72053,18302254315.59672,101104533.3882844,2168926756.5732846,2655367861.352376,935050156.347266,947811594.3494012
2017-11-03,36350664997.26488,18374677082.733974,101157699.424179,2174062746.054994,2719356457.605789,975136855.9062643,951244799.0268652
2017-11-04,36642638909.028946,18372848448.95849,101281404.89354292,2173370647.034565,2752938698.181267,967973527.7676265,952040218.7540873
2017-11-05,37006203518.20038,18386904957.554047,101345562.65051965,2174074057.5870714,2784124612.3952446,987630457.3172607,952148326.4882263
2017-11-06,37215234718.85695,18413656439.724728,101343313.37376627,2175088082.0698824,2805843538.7549396,1031443556.9690402,954903226.5472242
2017-11-07,37541282332.08461,18391685869.707928,101343358.58373149,2191831304.1298714,2823827191.385828,1024034954.77197,961010185.0602083
2017-11-08,37898127691.4341,18536332253.415207,101498597.86449093,2199417243.7314086,2855650528.5893917,1032341258.7947412,967730901.9636451
2017-11-09,38254471525.54001,18672629276.76645,102029829.19784889,2206878259.876555,2911626158.001635,1037054376.6159984,974522420.9160051
2017-11-10,38479623257.75949,18593108558.85901,101823707.67080487,2202456262.0966845,3348584846.2113757,1046989184.0826272,979413843.8566291
2017-11-11,38691116796.1577,18681119606.620888,101820642.0333202,2210279916.2605853,3766717697.9555807,1148809631.8443272,986196329.8367405
2017-11-12,39360420176.88543,18668130848.35405,101613010.82376376,2206615782.361861,4301063403.383293,1059503254.4756202,1086720746.4824295
2017-11-13,39877707892.389175,18763488684.545944,101832454.24753205,2214606592.4563355,4445186257.705769,1089896791.9232748,1101311908.247327
2017-11-14,40120645949.973694,18985687330.19556,101809001.18745382,2218572433.6184015,4530539590.962509,1130171048.9568057,1108875628.3130183
2017-11-15,40678401684.71091,19003306569.98513,102066015.30476107,2222740940.8943377,4597166154.34928,1127904557.909278,1120576721.175292
2017-11-16,41416233229.95225,19063856309.98204,102301838.14090613,2242262024.408155,4559981773.079705,1121393169.4715924,1132533077.922955
2017-11-17,42069186612.2304,19117527655.507824,102367273.00999673,2245268053.64664,4637354656.191335,1126892041.778448,1138653186.7680323
2017-11-18,42411671708.12469,19204966398.25716,102475021.4868674,2250164761.47695,4688379863.804644,1143799944.8652685,1150281196.1057882
2017-11-19,42799981176.67589,19291018584.79765,102575431.55612484,2259400076.3625093,4739910261.759834,1147091730.4310017,1157433433.1614316
2017-11-20,43353016374.00565,19624868692.83952,102682481.71760792,2268517916.5599146,4813530374.107779,1171760136.360589,1171600593.6261847
2017-11-21,43902594029.380325,19684112140.75659,102811832.643181,2273103165.504647,4866723554.418479,1150551577.8883235,1194000020.5047295
2017-11-22,44234258187.34536,20041357959.267696,105375275.492429,2280935507.157099,4938239838.657923,1135604839.6048992,1222748681.8841932
2017-11-23,44546617390.00927,20350526838.678093,106931714.41536967,2291951567.123637,5274174384.496497,1139430093.4321113,1247725863.9584703
2017-11-24,45084160613.259926,20858162638.090492,107311231.07426736,2305000203.366844,5396225204.744128,1193730905.4917908,1254608679.1806176
2017-11-25,45749792520.06523,21031495807.687668,107888485.22182748,2385997598.8750825,5535813489.702487,1220175944.6047845,1270171784.3953767
2017-11-26,46489190754.87213,21210803477.281216,109112190.49844252,2396538000.993111,5617776314.002437,1223299687.0281389,1292572689.1403155
2017-11-27,47365983169.91496,21873205270.53021,109480033.68239464,2418187658.657402,5735756913.697154,1310273032.662146,1302090518.5925052
2017-11-28,48463021894.18428,21994892064.271538,111741457.38763312,2447626833.4018726,5774028901.992074,1512177936.9102643,1310427477.5638509
2017-11-29,49379974329.67428,21987547060.45657,111979680.54573828,2461958434.874289,5792739104.3440695,1376511913.7587829,1359259485.7424293
2017-11-30,50024398907.474365,22081232308.29921,112315943.02166183,2476052816.6381135,5845269120.8090725,1412930110.0313976,1396027881.5578127
2017-12-01,50848750925.88848,22251844888.98509,112643728.93895254,2532310582.467165,5880686379.639213,1503510971.66669,1441371248.1241162
2017-12-02,51557629528.17471,22349801998.57535,113351286.19773623,2550804501.210298,5932128095.44332,1493298333.0042129,1473346053.5413048
2017-12-03,52076908771.801125,22502215120.89169,113741089.58969092,2603086131.638692,5989777541.128751,1496943943.5235445,1528064708.561838
2017-12-04,52911224642.363846,23042132066.69015,114679185.46858966,2622634532.558236,6063044710.60539,1505203126.2459552,1563260678.3268158
2017-12-05,53726464160.11622,23114240485.841183,115439231.07156472,2636379332.9861903,6148862277.671676,1488323161.2476835,1603912846.993332
2017-12-06,55573162988.584175,23135649888.447083,116785461.66514751,2653810828.900053,6267306016.786082,1426239226.333088,1665420629.181553
2017-12-07,60401987169.029045,23359828029.47745,118212047.54969606,2663140723.2024283,6269317729.475834,1387891401.6789377,1681729962.5415664
2017-12-08,62724085009.64272,23548105583.399315,119756297.50477216,2749789623.1113873,6431155844.704838,1478268682.7186196,1698289792.4062004
