"Date","Open","High","Low","Close","Adj Close","Volume"
2017-07-08,16.7414,16.9918,15.3758,16.9918,16.9918,113998000
2017-07-09,16.9701,17.4505,16.257099,16.2582,16.2582,56397400
2017-07-10,16.2365,17.488501,14.4331,15.4764,15.4764,146147008
2017-07-11,15.2186,16.033199,13.166,14.7247,14.7247,194378000
2017-07-12,14.6922,20.420099,14.2262,19.944201,19.944201,725473024
2017-07-13,20.047501,20.7218,17.357599,18.357599,18.357599,429172992
2017-07-14,18.4144,18.598,16.85,17.5518,17.5518,215528000
2017-07-15,17.6033,17.6033,14.3805,14.7683,14.7683,243159008
2017-07-16,14.7076,15.3631,12.2533,14.1782,14.1782,249231008
2017-07-17,14.3998,15.6949,13.7983,15.4997,15.4997,300782016
2017-07-18,15.5124,17.058701,14.7927,16.400801,16.400801,282383008
2017-07-19,16.432199,16.449301,14.5698,14.8255,14.8255,153459008
2017-07-20,14.9477,16.064699,14.9477,16.064699,16.064699,179260992
2017-07-21,16.115499,16.855301,15.7544,16.1429,16.1429,178167008
2017-07-22,16.112499,16.578899,16.064899,16.513,16.513,70103296
2017-07-23,16.518299,16.6189,15.3706,15.7761,15.7761,76647400
2017-07-24,15.8411,16.017799,15.5624,15.8775,15.8775,38370000
2017-07-25,15.889,15.9289,14.492,14.9237,14.9237,74645504
2017-07-26,14.8617,15.0783,14.2235,14.765,14.765,46058800
2017-07-27,14.8054,14.8315,14.5965,14.6556,14.6556,28722600
2017-07-28,14.6521,14.7479,14.0398,14.1626,14.1626,48972400
2017-07-29,14.1581,14.4656,13.4752,14.3998,14.3998,65494300
2017-07-30,14.3334,14.415,13.7597,13.8101,13.8101,37797400
2017-07-31,13.7816,14.1362,13.5524,14.0006,14.0006,44660400
2017-08-01,14.0194,14.695,13.8491,14.5713,14.5713,86270496
2017-08-02,14.6021,15.1089,14.414,14.766,14.766,81127104
2017-08-03,14.7627,15.4784,14.5781,15.3726,15.3726,74707904
2017-08-04,15.3705,15.4478,14.9412,15.0367,15.0367,51110000
2017-08-05,15.0268,15.9292,14.9813,15.9292,15.9292,98290896
2017-08-06,15.9641,16.341999,15.3505,15.3505,15.3505,81856704
2017-08-07,15.329,15.4765,15.1731,15.3144,15.3144,59522900
2017-08-08,15.2992,15.9543,15.2259,15.875,15.875,88294200
2017-08-09,15.8703,16.2467,15.2166,15.3821,15.3821,95728896
2017-08-10,15.3975,15.5808,15.1902,15.1902,15.1902,42596500
2017-08-11,15.1615,15.4741,15.0425,15.1728,15.1728,46330400
2017-08-12,15.1778,15.282,14.7584,14.8057,14.8057,50077000
