CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
0,36874.6129032258,1.0,0.9498395109294907,1.092311958660255,1.0395860543387518,1.045889601465472,0.9927426247448853,1.00662576665649,1.0198000839228785,1.0,1.0,SanDisk,ultra 3d nand,ssd,sata,4tb
0,7819.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8574687795238233,0.8327151809694334,1.0,1.0,Seagate,firecuda 120,ssd,sata,512gb
0,15187.322580645161,1.0,1.045279700599184,1.0636821457624888,1.0753047427077338,1.0,1.0,1.0,1.0,1.0,1.0,Seagate,firecuda 120,ssd,sata,1tb
1,3353.7419354838707,1.0,1.1090703416776364,1.1837235249985574,1.1800748962801941,1.172113960333186,1.1879665788174338,1.13813169690091,1.0785737644999327,1.1415507633905957,1.1411134409326127,Seagate,barracuda 120,ssd,sata,256gb
1,4615.096774193548,1.0,1.1964383070587812,1.2375863225878605,1.0870050139327685,1.0829675399110912,1.1844677589211656,1.0808636452595968,1.0831842200911455,1.0831842200911455,1.7124234629686583,Seagate,barracuda 120,ssd,sata,512gb
1,8557.774193548386,1.0,1.0202168831315692,0.924663859686156,1.0310936543895823,1.1099848845230333,1.1014624192553337,1.1290092766056896,1.0252251301401103,1.0362157027565957,1.1310183911252174,Seagate,barracuda 120,ssd,sata,1tb
0,19267.90322580645,1.0,0.9822997822361631,1.0067285557629686,0.9788472109447155,1.0047279028302125,1.0007108596110865,0.9838390771883712,0.9544838901398783,0.8309137989246143,0.8518796929541859,Seagate,barracuda 120,ssd,sata,2tb
0,4545.967741935484,1.0,1.0198441420208317,1.0117864112116375,1.0099059783572821,1.0099059783572821,1.0,1.0,1.0,1.0,1.0,Seagate,barracuda q1,ssd,sata,512gb
0,9584.258064516129,1.0,1.0212318923503594,1.0444209590995988,1.0444209590995988,1.0444209590995988,1.0158741484692642,0.8308482996311155,0.8203976951452651,0.814470973908829,0.7645870917364496,Seagate,firecuda 520,ssd,nvme,512gb
0,17615.548387096773,1.0,0.9177768697218158,0.883497350214803,0.9364227350471175,0.7764896114502952,0.9524540270508826,0.9408825048252827,0.8641852322544967,0.9008235026973972,0.8685911639643863,Seagate,firecuda 520,ssd,nvme,1tb
